suite,test_id,remuneration,expected_grade,expected_standard
minmax,pension_min_0,0,1,88000
minmax,pension_max_big,10000000,32,650000
boundary,pension_B02_minus1,92999,1,88000
boundary,pension_B02_at,93000,2,98000
boundary,pension_B03_minus1,100999,2,98000
boundary,pension_B03_at,101000,3,104000
boundary,pension_B04_minus1,106999,3,104000
boundary,pension_B04_at,107000,4,110000
boundary,pension_B05_minus1,113999,4,110000
boundary,pension_B05_at,114000,5,118000
boundary,pension_B06_minus1,121999,5,118000
boundary,pension_B06_at,122000,6,126000
boundary,pension_B07_minus1,129999,6,126000
boundary,pension_B07_at,130000,7,134000
boundary,pension_B08_minus1,137999,7,134000
boundary,pension_B08_at,138000,8,142000
boundary,pension_B09_minus1,145999,8,142000
boundary,pension_B09_at,146000,9,150000
boundary,pension_B10_minus1,154999,9,150000
boundary,pension_B10_at,155000,10,160000
boundary,pension_B11_minus1,164999,10,160000
boundary,pension_B11_at,165000,11,170000
boundary,pension_B12_minus1,174999,11,170000
boundary,pension_B12_at,175000,12,180000
boundary,pension_B13_minus1,184999,12,180000
boundary,pension_B13_at,185000,13,190000
boundary,pension_B14_minus1,194999,13,190000
boundary,pension_B14_at,195000,14,200000
boundary,pension_B15_minus1,209999,14,200000
boundary,pension_B15_at,210000,15,220000
boundary,pension_B16_minus1,229999,15,220000
boundary,pension_B16_at,230000,16,240000
boundary,pension_B17_minus1,249999,16,240000
boundary,pension_B17_at,250000,17,260000
boundary,pension_B18_minus1,269999,17,260000
boundary,pension_B18_at,270000,18,280000
boundary,pension_B19_minus1,289999,18,280000
boundary,pension_B19_at,290000,19,300000
boundary,pension_B20_minus1,309999,19,300000
boundary,pension_B20_at,310000,20,320000
boundary,pension_B21_minus1,329999,20,320000
boundary,pension_B21_at,330000,21,340000
boundary,pension_B22_minus1,349999,21,340000
boundary,pension_B22_at,350000,22,360000
boundary,pension_B23_minus1,369999,22,360000
boundary,pension_B23_at,370000,23,380000
boundary,pension_B24_minus1,394999,23,380000
boundary,pension_B24_at,395000,24,410000
boundary,pension_B25_minus1,424999,24,410000
boundary,pension_B25_at,425000,25,440000
boundary,pension_B26_minus1,454999,25,440000
boundary,pension_B26_at,455000,26,470000
boundary,pension_B27_minus1,484999,26,470000
boundary,pension_B27_at,485000,27,500000
boundary,pension_B28_minus1,514999,27,500000
boundary,pension_B28_at,515000,28,530000
boundary,pension_B29_minus1,544999,28,530000
boundary,pension_B29_at,545000,29,560000
boundary,pension_B30_minus1,574999,29,560000
boundary,pension_B30_at,575000,30,590000
boundary,pension_B31_minus1,604999,30,590000
boundary,pension_B31_at,605000,31,620000
boundary,pension_B32_minus1,634999,31,620000
boundary,pension_B32_at,635000,32,650000
representative,pension_G01_mid,46500,1,88000
representative,pension_G02_mid,96999,2,98000
representative,pension_G03_mid,103999,3,104000
representative,pension_G04_mid,110499,4,110000
representative,pension_G05_mid,117999,5,118000
representative,pension_G06_mid,125999,6,126000
representative,pension_G07_mid,133999,7,134000
representative,pension_G08_mid,141999,8,142000
representative,pension_G09_mid,150499,9,150000
representative,pension_G10_mid,159999,10,160000
representative,pension_G11_mid,169999,11,170000
representative,pension_G12_mid,179999,12,180000
representative,pension_G13_mid,189999,13,190000
representative,pension_G14_mid,202499,14,200000
representative,pension_G15_mid,219999,15,220000
representative,pension_G16_mid,239999,16,240000
representative,pension_G17_mid,259999,17,260000
representative,pension_G18_mid,279999,18,280000
representative,pension_G19_mid,299999,19,300000
representative,pension_G20_mid,319999,20,320000
representative,pension_G21_mid,339999,21,340000
representative,pension_G22_mid,359999,22,360000
representative,pension_G23_mid,382499,23,380000
representative,pension_G24_mid,409999,24,410000
representative,pension_G25_mid,439999,25,440000
representative,pension_G26_mid,469999,26,470000
representative,pension_G27_mid,499999,27,500000
representative,pension_G28_mid,529999,28,530000
representative,pension_G29_mid,559999,29,560000
representative,pension_G30_mid,589999,30,590000
representative,pension_G31_mid,619999,31,620000
representative,pension_G32_mid,635001,32,650000
