入力_caseId,入力_社員番号,入力_賞与支給日,入力_賞与支給月,入力_賞与総支給額_今回(円),期待_月内賞与総支給額累計_前回まで(円),期待_月内賞与総支給額累計_今回反映後(円),期待_健保_月内標準賞与額_前回まで(円),期待_健保_月内標準賞与額_今回反映後(円),期待_健保_今回分標準賞与額(円),期待_健保_年度開始年,期待_健保_年度標準賞与額累計_前回まで(円),期待_健保_年度標準賞与額累計_今回反映後(円),期待_厚年_月内標準賞与額_前回まで(円),期待_厚年_月内標準賞与額_今回反映後(円),期待_厚年_今回分標準賞与額(円),期待_厚年_年度開始年,期待_厚年_年度標準賞与額累計_前回まで(円),期待_厚年_年度標準賞与額累計_今回反映後(円),入力_健保_年度上限額(円),入力_厚年_月上限額(円),入力_検証ポイント
A01,EMP-A,2025-04-10,2025-04,2000500,0,2000500,0,2000000,2000000,2025,0,2000000,0,1500000,1500000,2025,0,1500000,5730000,1500000,厚年 月上限(150万)（単発）
A02,EMP-A,2025-06-20,2025-06,1800999,0,1800999,0,1800000,1800000,2025,2000000,3800000,0,1500000,1500000,2025,1500000,3000000,5730000,1500000,千円未満切捨 + 厚年 月上限(150万)（単発）
A03,EMP-A,2025-09-05,2025-09,2500000,0,2500000,0,1930000,1930000,2025,3800000,5730000,0,1500000,1500000,2025,3000000,4500000,5730000,1500000,健保 年度上限(573万)到達：月内標準賞与額が途中で抑制
A04,EMP-A,2025-12-15,2025-12,500000,0,500000,0,0,0,2025,5730000,5730000,0,500000,500000,2025,4500000,5000000,5730000,1500000,健保 年度上限到達後：健保の標準賞与額は0
B01,EMP-B,2025-04-15,2025-04,2500000,0,2500000,0,2500000,2500000,2025,0,2500000,0,1500000,1500000,2025,0,1500000,5730000,1500000,厚年 月上限(150万)（単発）
B02,EMP-B,2025-07-10,2025-07,999500,0,999500,0,999000,999000,2025,2500000,3499000,0,999000,999000,2025,1500000,2499000,5730000,1500000,同月2回（合算→千円未満切捨）1回目
B03,EMP-B,2025-07-25,2025-07,1200,999500,1000700,999000,1000000,1000,2025,3499000,3500000,999000,1000000,1000,2025,2499000,2500000,5730000,1500000,"同月2回（合算→千円未満切捨）2回目：切捨境界で+1,000"
B04,EMP-B,2025-08-20,2025-08,1500000,0,1500000,0,1500000,1500000,2025,3500000,5000000,0,1500000,1500000,2025,2500000,4000000,5730000,1500000,"健保 年度累計を4,000,000に調整（以降の上限テスト用）"
B05,EMP-B,2025-11-05,2025-11,1000000,0,1000000,0,730000,730000,2025,5000000,5730000,0,1000000,1000000,2025,4000000,5000000,5730000,1500000,同月2回：1回目（厚年月上限の途中到達 & 健保年度上限は未到達）
B06,EMP-B,2025-11-25,2025-11,900000,1000000,1900000,730000,730000,0,2025,5730000,5730000,1000000,1500000,500000,2025,5000000,5500000,5730000,1500000,"同月2回：2回目（厚年は+500,000で月上限到達、健保は+730,000で年度上限到達）"
B07,EMP-B,2026-01-10,2026-01,123456,0,123456,0,0,0,2025,5730000,5730000,0,123000,123000,2025,5500000,5623000,5730000,1500000,健保 年度上限到達後：健保0 / 千円未満切捨確認
B08,EMP-B,2026-03-31,2026-03,300000,0,300000,0,0,0,2025,5730000,5730000,0,300000,300000,2025,5623000,5923000,5730000,1500000,年度末(3/31)は同じ年度(FY2025)扱い：健保は0のまま
B09,EMP-B,2026-04-01,2026-04,2000000,0,2000000,0,2000000,2000000,2026,0,2000000,0,1500000,1500000,2026,0,1500000,5730000,1500000,年度切替(4/1)で健保年度累計リセット
B10,EMP-B,2026-04-20,2026-04,5678,2000000,2005678,2000000,2005000,5000,2026,2000000,2005000,1500000,1500000,0,2026,1500000,1500000,5730000,1500000,"同月2回：合算後の千円未満切捨で健保が+5,000だけ増える（厚年は月上限で増えない）"
