case_id,prefecture,care_applicable,bonus_gross,health_ytd_standard_bonus_before,expected_standard_bonus_health,expected_standard_bonus_pension,expected_health_employee_bonus,expected_health_total_bonus,expected_care_employee_bonus,expected_care_total_bonus,expected_pension_employee_bonus,expected_pension_total_bonus,note
B001,東京都,0,999,0,0,0,0,0,0,0,0,0,総支給999→標準0
B002,東京都,0,1000,0,1000,1000,50,99,0,0,91,183,総支給1000→標準1000
B003,東京都,0,1001,0,1000,1000,50,99,0,0,91,183,総支給1001→標準1000
B004,東京都,1,110000,0,110000,110000,5450,10901,874,1749,10065,20130,健保個人*.50境界/介護あり
B005,東京都,1,118000,0,118000,118000,5847,11693,938,1876,10797,21594,端数確認/介護あり
B006,東京都,1,333000,0,333000,333000,16500,33000,2647,5294,30469,60939,よくある値/介護あり
B007,東京都,0,333000,0,333000,333000,16500,33000,0,0,30469,60939,よくある値/介護なし
B008,大阪府,1,333000,0,333000,333000,17050,34099,2647,5294,30469,60939,大阪 料率差分/介護あり
B009,大阪府,0,333000,0,333000,333000,17050,34099,0,0,30469,60939,大阪 介護なし
B010,東京都,1,999000,0,999000,999000,49500,99000,7942,15884,91408,182817,高額レンジ/介護あり
B011,大阪府,1,999000,0,999000,999000,51149,102297,7942,15884,91408,182817,高額レンジ(大阪)/介護あり
B012,東京都,1,1234567,0,1234000,1234000,61145,122289,9810,19620,112911,225822,"標準=1,234,000(千円未満切捨)"
B013,大阪府,1,2345678,0,2345000,1500000,120064,240128,18643,37285,137250,274500,"標準=2,345,000(厚年上限)"
B014,東京都,0,1500999,0,1500000,1500000,74325,148650,0,0,137250,274500,"標準=1,500,000(厚年上限ぴったり)"
B015,東京都,1,1500999,0,1500000,1500000,74325,148650,11925,23850,137250,274500,上と同じ/介護あり
B016,大阪府,1,1600000,0,1600000,1500000,81920,163840,12720,25440,137250,274500,"厚年上限1,500,000(超過)"
B017,東京都,1,5730000,0,5730000,1500000,283921,567843,45553,91107,137250,274500,健保年度上限ぴったり
B018,東京都,1,6000000,0,5730000,1500000,283921,567843,45553,91107,137250,274500,健保年度上限でカット
B019,東京都,1,800000,5600000,130000,800000,6441,12883,1033,2067,73200,146400,"年度累計あり(残130,000)"
B020,東京都,1,500000,5730000,0,500000,0,0,0,0,45750,91500,年度累計上限到達(残0)
B021,大阪府,1,800000,5729000,1000,800000,51,102,8,15,73200,146400,"年度累計あり(残1,000)"
B022,大阪府,0,800000,5729000,1000,800000,51,102,0,0,73200,146400,"年度累計あり(残1,000)/介護なし"
B023,東京都,1,1000,5729000,1000,1000,50,99,8,15,91,183,"残1,000にピッタリ"
B024,東京都,1,2000,5729000,1000,2000,50,99,8,15,183,366,"標準2,000だが残1,000でカット"
B025,大阪府,1,1499999,0,1499000,1499000,76749,153497,11917,23834,137158,274317,"標準=1,499,000(厚年上限未満)"
B026,東京都,1,1500000,0,1500000,1500000,74325,148650,11925,23850,137250,274500,"標準=1,500,000(上限境界)"
B027,東京都,1,1501000,0,1501000,1500000,74375,148749,11933,23865,137250,274500,"標準=1,501,000(厚年上限超)"
B028,大阪府,1,1499000,0,1499000,1499000,76749,153497,11917,23834,137158,274317,"標準=1,499,000(大阪)"
B029,大阪府,1,151000,0,151000,151000,7731,15462,1200,2400,13816,27633,"標準=151,000(大阪)"
B030,東京都,0,2500000,3000000,2500000,1500000,123875,247750,0,0,137250,274500,"年度累計あり(残2,730,000)/厚年上限"
