case_id,prefecture,care_applicable,health_standard_monthly,pension_standard_monthly,expected_health_employee_monthly,expected_health_total_monthly,expected_care_employee_monthly,expected_care_total_monthly,expected_pension_employee_monthly,expected_pension_total_monthly,note
M001,東京都,0,58000,88000,2874,5747,0,0,8052,16104,"min(健保/厚年),介護なし"
M002,東京都,1,58000,88000,2874,5747,461,922,8052,16104,"min,介護あり"
M003,東京都,0,110000,89000,5450,10901,0,0,8143,16287,"健保個人=*.50境界,厚年個人=*.50境界"
M004,東京都,1,110000,89000,5450,10901,874,1749,8143,16287,"健保/介護個人=*.50境界,厚年個人=*.50境界"
M005,東京都,0,104000,104000,5153,10306,0,0,9516,19032,端数(合計)確認
M006,東京都,1,118000,118000,5847,11693,938,1876,10797,21594,端数(合計/介護)確認
M007,東京都,1,150000,150000,7432,14865,1192,2385,13725,27450,中間値
M008,東京都,0,250000,250000,12387,24775,0,0,22875,45750,中間値
M009,東京都,1,250000,300000,12387,24775,1987,3975,27450,54900,健保と厚年が異なる
M010,東京都,0,500000,650000,24775,49550,0,0,59475,118950,厚年上限側
M011,東京都,1,1390000,650000,68874,137749,11050,22101,59475,118950,"健保最大/厚年最大,介護あり"
M012,大阪府,0,58000,88000,2970,5939,0,0,8052,16104,"大阪 料率差分,介護なし"
M013,大阪府,1,58000,88000,2970,5939,461,922,8052,16104,大阪 健保個人 端数>0.5で切上
M014,大阪府,1,62000,89000,3174,6348,493,985,8143,16287,"大阪 健保個人 端数<0.5で切捨,厚年*.50"
M015,大阪府,0,60000,90000,3072,6144,0,0,8235,16470,"大阪 健保個人 端数0,介護なし"
M016,大阪府,1,61000,91000,3123,6246,485,969,8326,16653,"大阪 健保個人 端数0.2,厚年*.50"
M017,大阪府,1,59000,92000,3021,6041,469,938,8418,16836,"大阪 健保個人 端数0.8,厚年個人整数"
M018,大阪府,0,300000,300000,15360,30720,0,0,27450,54900,"大阪 中間値,介護なし"
M019,大阪府,1,300000,300000,15360,30720,2385,4770,27450,54900,"大阪 中間値,介護あり"
M020,大阪府,0,1390000,650000,71168,142336,0,0,59475,118950,"大阪 最大,介護なし"
M021,大阪府,1,1390000,650000,71168,142336,11050,22101,59475,118950,"大阪 最大,介護あり"
M022,東京都,1,631000,631000,31266,62532,5016,10032,57736,115473,端数パターンA
M023,東京都,0,632000,632000,31316,62631,0,0,57828,115656,端数パターンB
M024,東京都,1,333000,333000,16500,33000,2647,5294,30469,60939,よくある値
M025,大阪府,1,333000,333000,17050,34099,2647,5294,30469,60939,よくある値(大阪)
M026,東京都,0,127000,180000,6293,12585,0,0,16470,32940,健保と厚年が異なる(例)
M027,大阪府,0,127000,180000,6502,13004,0,0,16470,32940,健保と厚年が異なる(大阪)
M028,東京都,1,999000,999000,49500,99000,7942,15884,91408,182817,高額レンジ
M029,大阪府,1,999000,650000,51149,102297,7942,15884,59475,118950,健保高額/厚年上限
M030,東京都,1,1000000,500000,49550,99100,7950,15900,45750,91500,健保高額/厚年中間
