recordType,caseId,employeeNo,prefecture,careApplicable,healthStdMonthlyYen,pensionStdMonthlyYen,healthRateTotalPct,careRateTotalPct,pensionRateTotalPct,exp_health_employeeRawYen,exp_health_employeeYen,exp_health_totalRawYen,exp_care_employeeRawYen,exp_care_employeeYen,exp_care_totalRawYen,exp_pension_employeeRawYen,exp_pension_employeeYen,exp_pension_totalRawYen,exp_health_employeeSumYen,exp_health_totalFloorYen,exp_care_employeeSumYen,exp_care_totalFloorYen,exp_pension_employeeSumYen,exp_pension_totalFloorYen
EMP,M-SUM-001,E001,北海道,1,58000,88000,10.31,1.59,18.30,2990.90,2991,5979.80,461.10,461,922.20,8052.00,8052,16104.00,,,,,,
EMP,M-SUM-001,E002,青森県,0,68000,98000,9.85,1.59,18.30,3349.00,3349,6698.00,0.00,0,0.00,8967.00,8967,17934.00,,,,,,
EMP,M-SUM-001,E003,岩手県,1,78000,104000,9.62,1.59,18.30,3751.80,3752,7503.60,620.10,620,1240.20,9516.00,9516,19032.00,,,,,,
EMP,M-SUM-001,E004,宮城県,0,88000,110000,10.11,1.59,18.30,4448.40,4448,8896.80,0.00,0,0.00,10065.00,10065,20130.00,,,,,,
EMP,M-SUM-001,E005,秋田県,1,98000,118000,10.01,1.59,18.30,4904.90,4905,9809.80,779.10,779,1558.20,10797.00,10797,21594.00,,,,,,
EMP,M-SUM-001,E006,山形県,0,104000,126000,9.75,1.59,18.30,5070.00,5070,10140.00,0.00,0,0.00,11529.00,11529,23058.00,,,,,,
EMP,M-SUM-001,E007,福島県,1,110000,134000,9.62,1.59,18.30,5291.00,5291,10582.00,874.50,874,1749.00,12261.00,12261,24522.00,,,,,,
EMP,M-SUM-001,E008,茨城県,0,118000,142000,9.67,1.59,18.30,5705.30,5705,11410.60,0.00,0,0.00,12993.00,12993,25986.00,,,,,,
EMP,M-SUM-001,E009,栃木県,1,126000,150000,9.82,1.59,18.30,6186.60,6187,12373.20,1001.70,1002,2003.40,13725.00,13725,27450.00,,,,,,
EMP,M-SUM-001,E010,群馬県,0,134000,160000,9.77,1.59,18.30,6545.90,6546,13091.80,0.00,0,0.00,14640.00,14640,29280.00,,,,,,
EMP,M-SUM-001,E011,埼玉県,1,142000,170000,9.76,1.59,18.30,6929.60,6930,13859.20,1128.90,1129,2257.80,15555.00,15555,31110.00,,,,,,
EMP,M-SUM-001,E012,千葉県,0,150000,180000,9.79,1.59,18.30,7342.50,7342,14685.00,0.00,0,0.00,16470.00,16470,32940.00,,,,,,
EMP,M-SUM-001,E013,東京都,1,160000,190000,9.91,1.59,18.30,7928.00,7928,15856.00,1272.00,1272,2544.00,17385.00,17385,34770.00,,,,,,
EMP,M-SUM-001,E014,神奈川県,0,170000,200000,9.92,1.59,18.30,8432.00,8432,16864.00,0.00,0,0.00,18300.00,18300,36600.00,,,,,,
EMP,M-SUM-001,E015,新潟県,1,180000,220000,9.55,1.59,18.30,8595.00,8595,17190.00,1431.00,1431,2862.00,20130.00,20130,40260.00,,,,,,
EMP,M-SUM-001,E016,富山県,0,190000,240000,9.65,1.59,18.30,9167.50,9167,18335.00,0.00,0,0.00,21960.00,21960,43920.00,,,,,,
